Name,Type,Phone Number,Email,Physical Address,Latitude,Longitude,Region
Bophelong Clinic Nw2 - Vanderbijlpark,Clinic,,baby@dueldigital.co.za,"632 632 Matthew Street, Bophelong, Vanderbijlpark, 1913",-26.693881,27.797172,South Africa
Botshilu Private Hospital,Clinic,+27 127987000,,"212 Buitekant Street, Soshanguve, 0152",-25.480733,28.094943,South Africa
Brakkuil Clinic,Clinic,,,,-25.255964,26.481877,South Africa
Breipaal Cinic,Clinic,,,"Cnr Lily Ave and Rose Street, Douglas, 8730",-29.045719,23.765664,South Africa
Breipaal Community Clinic,Clinic,,,"Cnr Lily Ave and Rose Street, Douglas, 8730",-29.045729,23.765673,South Africa
Breyten Municipal Clinic,Clinic,,,"224 Hoy Street, Breyten, 2330",-26.305464,29.979919,South Africa
Brighton Clinic,Clinic,+27 21 444 1214,brighton.clinic@capetown.gov.za,,-33.841883,18.70568,South Africa
Brixton Clinic,Clinic,,,"Ingelby Street, Johannesburg, 2091",-26.192162,27.99028,South Africa
Brooklyn MedPark,Clinic,,,"158 Olivier Street, Pretoria, 0181",-25.769743,28.23606,South Africa
Bungeni Health Centre,Clinic,,,,-23.202265,30.197879,South Africa
Burelli K Physiotherapist,Clinic,+27 12 341 9716,,"Ebbard Lane, Pretoria, 0002",-25.760721,28.204458,South Africa
Burnetta Medical Centre,Clinic,+27 12 362 0773,,"424 Hilda Street, Pretoria, 0028",-25.74957,28.235518,South Africa
Butterfly Centre,Clinic,,,Sunmaid,-33.701278,19.0045,South Africa
Butterfly Centre,Clinic,,,"2 Sunmaid, Paarl, Cape Town, 7646",-33.701267,19.004571,South Africa
Buyisigugu Health Services,Clinic,+27 81 270 4911,,"R573, Thembisile Hani Local Municipality, 0081",-25.307518,28.946919,South Africa
COVID Testing - Drive Through,Clinic,,,"42 Longmeadow Boulevard, Johannesburg, 2090",-26.115135,28.135668,South Africa
COVID Testing - Drive Through,Clinic,,,"2 Wordsworth Avenue, Germinston, 2145",-26.150274,28.124046,South Africa
COVID Testing - Drive-Through,Clinic,,,"49 Winnie Mandela Drive, Johannesburg",-26.09745,28.031768,South Africa
Cambridge Clinic (Sprigg Street Clinic),Clinic,+27 43 726 0142,,30 Sprigg Street,-32.978015,27.889523,South Africa
Cape Health Collective,Clinic,,,,-33.98401,18.478032,South Africa
Carecross Medical & Dental Centre,Clinic,+27 11 837 7777,,High Street,-26.193351,27.997099,South Africa
Carewell Medical Centre,Clinic,,,,-34.375775,21.404097,South Africa
"Centre for Diabetes and Endocrinology, Houghton",Clinic,,,"81 Central Street, Houghton, 2198",-26.155012,28.058037,South Africa
Changes Addiction Rehab,Clinic,+27 827473422,Change@ChangesRehab.co.za,"216 Weltevreden Road, 2195",-26.136703,27.963645,South Africa
Chapel Street Clinic,Clinic,,,"Balfour Street, Woodstock, Cape Town, 7925",-33.928858,18.43989,South Africa
Charles Street Medical Centre,Clinic,+27 12 346 7521,,"Justice Mahomed Street, Brooklyn, Pretoria, 0181",-25.771034,28.251309,South Africa
Child Guidance Clinic,Clinic,,,,-33.954048,18.471124,South Africa
Chiropractic Clinic,Clinic,+27 11 432 4005,,"18 Sneeuberg Street, The Glens, Johannesburg",-26.285142,28.054447,South Africa
Chiropractor,Clinic,,,,-34.045168,18.502003,South Africa
City View Birthing Retreat,Clinic,+27 123430115,mariatha@birthingretreat.co.za,"138 Beckett Street, Pretoria, 0002",-25.738634,28.217078,South Africa
Clementina Medical practice,Clinic,+27 12 362 0342,,"Shop 3, 525 Jan Shoba Street, Pretoria, 0028",-25.752814,28.240085,South Africa
Clinic Van Wyksdorp,Clinic,,,,-33.749152,21.460082,South Africa
Cloetesville Community Health Clinic,Clinic,+27 21 883 2676,petro.pfuhl@westerncape.gov.za,"Long Street, Stellenbosch",-33.911511,18.854898,South Africa
Cloetesville State Clinic,Clinic,+27 21 883 2676,petro.pfuhl@westerncape.gov.za,"Tennant, Stellenbosch",-33.922682,18.856802,South Africa
Clínica Body & Face,Clinic,,,Alie van Bergen street,-25.328861,31.012645,South Africa
Comprehensive Health Care,Clinic,+27 21 9320 6038,,"13 Market Street, Parow Valley, Cape Town, 7500",-33.912943,18.588233,South Africa
CoreMed,Clinic,+27 16 9819898,,"CORMED CLINIC, MEDQUANT BUILDING CNR HERTZ & PASTEUR BLVD,, Vanderbijlpark",-26.70178,27.832131,South Africa
Cramond Clinic,Clinic,,,,-29.415638,30.429332,South Africa
Crescent Clinic Psychiatric Hospital,Clinic,+27 21 762 7666,,"269 Main Road, Claremont, Cape Town, 7708",-33.989235,18.467064,South Africa
Cure Day Hospitals Medkin,Clinic,+27 12 322 1230,,"966 Louis Pasteur Building Francis Baard Street, Pretoria, 0002",-25.748526,28.196277,South Africa
DA Maleho Clinic,Clinic,+27518531402,,"2116 Kopanang Street, Phahameng, Bultfontein, 9670",-28.306363,26.14115,South Africa
DA Maleho Clinic,Clinic,,,,-28.306317,26.141163,South Africa
DA Maleho Clinic,Clinic,,,,-28.306257,26.141137,South Africa
DR T.J Women's Clinic Tembisa,Clinic,+27 73 172 8563,,"Reverend R.T.J. Nemane Drive, Tembisa, 1632",-26.001639,28.212891,South Africa
Dalvale Clinic,Clinic,,,Simfonielaan Wes,-33.702141,18.991464,South Africa
Daniel Ngatane Clinic,Clinic,+27 51 304 3209,,"92 Setumo Phakoe Road, Botshabelo,Free State",-29.22073,26.670527,South Africa
Dannhauser Community Health Centre,Clinic,,,3080,-28.021117,30.050304,South Africa
Daveyton East Clinic,Clinic,+27 11 999 6924;+27 11 999 6928,,"869 Reggie Street, Chris Hani, Benoni, 1520",-26.131293,28.43855,South Africa
Daveyton Main Clinic,Clinic,+27 11 7477916,,"Bhengu Street, Daveyton, 1520",-26.152253,28.415189,South Africa
Davhana clinic,Clinic,,,,-23.209675,30.456355,South Africa
Davhana clinic,Clinic,+27 15961473,,Thohoyandou,-23.20955,30.456373,South Africa
De Beershoogte Clinic,Clinic,+27 53 531 0661,,"Plataan Street, Barkly West",-28.532652,24.514207,South Africa
De Wiekus Medical Practice,Clinic,+27 11 939 6090,,"34 De Wiekus Road, Kempton Park, 1619",-26.080571,28.210588,South Africa
Delft Community Health Centre,Clinic,,,Delft Main Road,-33.973942,18.641667,South Africa
Delft South Clinic,Clinic,+27 21 444 8974,,"2 Boyce Street, Cape Town, 7100, ZA",-33.991603,18.633521,South Africa
Delportshoop Clinic,Clinic,+27 53 561 0639,,"797 Hanekom Street, Delportshoop, Frances Baard District Municipality, Northern Cape 8377, 8377",-28.419832,24.312537,South Africa
Delportshoop Clinic,Clinic,,,,-28.419794,24.312575,South Africa
Dendron Clinic,Clinic,+27 15 501 0059,,"181 President Street, Mogwadi, 0715",-23.367514,29.327277,South Africa
Dental care,Clinic,+27 12 546 6863,,"244 Ben Viljoen Street, Pretoria, 0182",-25.66554,28.175222,South Africa
Deorham Clinic,Clinic,,,,-26.896108,23.512279,South Africa
Disobotla,Clinic,,,,-26.151502,26.156251,South Africa
District Six Community Day Centre,Clinic,,,"50 Caledon Street, Cape Town, 8001",-33.92872,18.426075,South Africa
Doctor/Travel Clinic,Clinic,+27 11 683 9438,,272 Turf Club Street,-26.242906,28.052737,South Africa
Doringbaai Satellite Clinic,Clinic,,,,-31.816556,18.235896,South Africa
Dr Helga Kuhn Clinic,Clinic,,,,-26.497276,27.837425,South Africa
Dr KPK Jogi,Clinic,,,,-25.667327,27.233776,South Africa
Dr Luis Maracha,Clinic,,,"Hilda Street, Pretoria, 0028",-25.750034,28.23555,South Africa
Dr MH Dawood,Clinic,+27 118948008,,"23 Lakefield Avenue, Benoni, 1501",-26.180925,28.290935,South Africa
Dr P Meyer,Clinic,,,"Park Street, Pretoria, 0002",-25.748531,28.206727,South Africa
Dr Winston Torres Clinic,Clinic,+27 53 830 6104,,"55 Raven Street, Kimberly,Northern Cape, 8309",-28.662764,24.715649,South Africa
Dr's R. Marivate & Partner Family Physicians,Clinic,+27127972185,,"1533 Marumo Street, Soshanguve, 0152",-25.511565,28.105833,South Africa
Dr. Abdurahman Community Health Clinic,Clinic,,,,-33.95893,18.518024,South Africa
Dr. B.C. Setzer Family Practice,Clinic,+27 21 510 1441,,"361 Koeberg Road, Cape Town, 7405",-33.899251,18.489249,South Africa
Dr. G. Stockton,Clinic,+27 21 790 4044,,"37 Barry Road, Hout Bay, 7806",-34.032223,18.359258,South Africa
Dr. Lionel Jedeikin Alchimia Clinic,Clinic,+27 21 423 2085,,"39 Kloof Street, Cape Town, 8001",-33.934427,18.406693,South Africa
Dr. Oupa Chuene Surgery,Clinic,+27 11 920 2700; +27 11 924 3900,,"183 Reverend RTJ Nemane Drive, Thembisa,Johannesburg",-26.005511,28.207895,South Africa
Dr. Rammutla D.S.,Clinic,+27 78 154 2673,,"221 Emily Hobhouse Street, Pretoria, 0182",-25.678213,28.171933,South Africa
Duncan Village Community Health Clinic,Clinic,+27 43 742 4762,,"Douglas Smith Highway, East London, Eastern Cape",-33.007735,27.886094,South Africa
Dunvegan Medical Centre,Clinic,+27 114530400,,"48 Dunvegan Avenue, Edenvale, 1609",-26.157545,28.150253,South Africa
Durban Eye & Laser Clinic,Clinic,,,,-29.835892,30.997991,South Africa
Durbanville Mental Health and Memory Clinic,Clinic,,,,-33.827359,18.653411,South Africa
Durbanville Natural Health Centre,Clinic,+27 219755957,,"1 High Street, Durbanville",-33.833655,18.641687,South Africa
Durnacol Clinic,Clinic,,,,-28.047615,30.021441,South Africa
Dwarsloop Community Clinic,Clinic,,,Dwarsloop Phase 2,-24.791676,31.089103,South Africa
Dwarsloop Community Clinic,Clinic,,,,-24.791829,31.089029,South Africa
Ear Institute Lynnwood,Clinic,+27 861102030,,"76 Alcade Road, Pretoria, 0081",-25.766994,28.279144,South Africa
Eastbank Clinic,Clinic,,,,-26.106646,28.110995,South Africa
Eastcliffe Medical Centre,Clinic,+27 11 435 3129,,"Satara Road, Johannesburg",-26.268375,28.05555,South Africa
Eastmed,Clinic,,,"60 Baviaanspoort Street, Pretoria",-25.706048,28.27266,South Africa
Eersterus Clinic,Clinic,,,"P.S. Fourie Drive, Eersterust, 0022",-25.707412,28.318892,South Africa
Elliotdale Community Health Centre,Clinic,,,,-31.973431,28.691169,South Africa
Elsies River Clinic,Clinic,+27 21 931 6023,,"Halt Road, Elsies River",-33.92971,18.5752,South Africa
Emambedwini clinic,Clinic,,,,-29.475647,30.658259,South Africa
Emfihlweni Pharmancy,Clinic,+27 11 920 3626,,"63 Brian Mazibuko Drive, Tembisa, 1632",-26.02066,28.224754,South Africa
Endayeni Primary Health Care Clinic,Clinic,+27 11 999 4330,,"11 1st Street, Tembisa, 1632",-26.019683,28.191543,South Africa
Endermologie Clinic,Clinic,+27 41 581 5496,,259 Main Road,-33.981981,25.568005,South Africa
Engage Mens Health Clinic,Clinic,+27 12 430 3272,,"1310 Stanza Bopape Street, Hatfield, Pretoria, 0028",-25.742296,28.24474,South Africa
Esangweni Community Health Centre,Clinic,+27 11 925 6606,,"219 Mpilo Street, Tembisa, 1632",-26.021956,28.20041,South Africa
Esiyembeni Clinic B,Clinic,+27 35 550 7910;+27 73 845 2893,,"Umkhanyakude District Municipality, KwaZulu-Natal",-28.329266,32.004952,South Africa
Esselen Street Clinic,Clinic,+27 11 725 6711,,"17 Esselen Street, Hillbrow,Johannesburg, 2001",-26.19071,28.044945,South Africa
Ethafeni Clinic,Clinic,+27 11 925 6222,,"43 Benin Street, Tembisa, 1632",-26.023063,28.214199,South Africa
Excel Medical Travel Clinic,Clinic,,,"09 Excelsior Street, Polokwane, 0690",-23.901074,29.446111,South Africa
Ezimpondweni Clinic,Clinic,+27 35 562 9050,,"Shangase Village, Umkhanyakude District Municipality",-27.798214,32.459549,South Africa
FF Ribeiro Clinic,Clinic,+27123588770,,"Sisulu Street, Pretoria, 0002",-25.744728,28.195789,South Africa
FIRSTCARE MEDICAL CLINIC,Clinic,,,"2 Mentz Avenue, BELA BELA, 0480",-24.884935,28.284541,South Africa
Faerie Flen Medical Suites,Clinic,+27 12 369 5600,Elsje.Barnard@lifehealthcare.co.za,"Cnr Atterbury Oberon Avenue, Faerie Glen,Pretoria, 0043",-25.784166,28.29106,South Africa
Fagan Street Clinic,Clinic,+27 21 841 1660,faganstreet.clinic@capetown.gov.za,"Fagan Street, Strand",-34.116227,18.829793,South Africa
Fairland's Scout Hall,Clinic,,,,-26.136569,27.952383,South Africa
Family Medical Practice,Clinic,+27414504849,,"179 Circular Drive, Gqebhera, 6070",-33.975496,25.531659,South Africa
Fichardt Park Clinic,Clinic,+27 51 522 5111,,"8 Charlie Sutton Street, Fichardt Park, 9301",-29.144034,26.181755,South Africa
Fishawellness Hospital,Clinic,+27 12 830 0010,,"1 Rebecca Street, Pretoria, 0030",-25.759349,28.155379,South Africa
Florianville (Floors) Clinic,Clinic,,,Stokroos Street,-28.722729,24.758534,South Africa
Florianville Clinic,Clinic,+27 53 830 6073,,"Stokroos Street, Florianville, 8301",-28.722913,24.758526,South Africa
Florida Clinic,Clinic,,,,-26.171605,27.912778,South Africa
Florida Medical & Dental Centre,Clinic,,,Goldman Street,-26.174214,27.919092,South Africa
Folang Clinic,Clinic,+27 12 358 0235,,"175 Es'kia Mphahlele Drive, Pretoria, 0126",-25.749896,28.173772,South Africa
Frail Care Pretoria-Brooklyn Care,Clinic,+27 12 001 4091,,"44 Charles Bramley Street, Pretoria, 0181",-25.767138,28.224076,South Africa
Freeway Surgery,Clinic,,,,-26.322695,27.863556,South Africa
G4 Medical Services - NiteDoc,Clinic,+27 117681013,info@g4med.co.za,"8 C.R. Swart Drive, Krugersdorp, 1724",-26.126544,27.847289,South Africa
GK Family Health Care Clinics,Clinic,,,"Garden Road, Pretoria North, 0182",-25.643279,28.101692,South Africa
Gamalakhe Health Center,Clinic,,,,-30.810597,30.333841,South Africa
Gansbaai Clinic,Clinic,+27 28 814 3530 x3535,Aletta.Davids@westerncape.gov.za,"Main Street, Gansbaai",-34.590405,19.350519,South Africa
Ganspan Clinic,Clinic,,,1 Gert Lubbe Street,-27.973883,24.767418,South Africa
Garies Clinic,Clinic,,,"4 Namaqua Street, Garies, 8220",-30.566154,17.988541,South Africa
Gazankulu Clinic,Clinic,+27 12 375 7392,,"18 Maunde Street, Pretoria, 0125",-25.780783,28.054876,South Africa
Gedleza Clinic,Clinic,+27 35 572 9113,,"415 Umkhanyakude District Road, Jozini Ixopo",-27.482869,32.212912,South Africa
General Practitioners - Northcliff Medical Center,Clinic,,,"Cnr Beyers Naude Drive & Waugh Avenue, Northcliff, Randburg, 2195",-26.140189,27.977702,South Africa
Geneva Clinic,Clinic,,,,-33.957506,22.451701,South Africa
Gold Reef City Theme Park - Clinic,Clinic,+27 11 248 6843,,"14 Shaft Avenue,, Ormonde, 2091",-26.235528,28.014611,South Africa
Gordon's Bay Community Day Centre,Clinic,+27 21 444 9315,,Mountainside Boulevard,-34.153357,18.879139,South Africa
Green Cross Clinic,Clinic,,,"Suite 104, Adverto Towers. 80 Celliers Street, Pretoria, 0002",-25.752565,28.207017,South Africa
Greenpoint Clinic,Clinic,,,"23 Dutch Reform Street, Kimberley, Northern Cape",-28.7779,24.771214,South Africa
Greenside Clinic,Clinic,+27117820004,,"11 Gleneagles Road, GREENSIDE RANDBURG, 2193",-26.146076,28.008688,South Africa
Greenvillage Clinic,Clinic,,,Azalia Avenue,-26.236878,27.804485,South Africa
Greenways Family Medical Centre,Clinic,+27 41 368 3706,,"4 Greenways Avenue, Port Elizabeth, 6070",-33.993787,25.535938,South Africa
Groblershoop Clinic,Clinic,+27 54 833 0231,,"212 Maritz Street, Groblershoop, 8850",-28.895009,21.98101,South Africa
Groenkloof Healthcare Sub-Acute (Stepdown),Clinic,+27 12 346 0103,,"19 George Storrar Drive, Pretoria, 0181",-25.771719,28.210876,South Africa
Gunjaneni Clinic,Clinic,+27 35 838 8600,,"610 Saunders Street, Hlabisa, Kwazulu-natal",-28.244827,32.088106,South Africa
Gustaf Pretorius Clinical Psychologist / Kliniese Sielkundige,Clinic,+27 82 320 2726,navraag@psydev.co.za,"869 Disselboom Avenue, 0050",-25.777772,28.337626,South Africa
HART Fertility Clinic Inc,Clinic,,,1 Mediterranean Street,-33.91926,18.432584,South Africa
HP Medical,Clinic,,,,-25.476702,30.976526,South Africa
Haarlem Clinic,Clinic,+27 44 763 1145,Sarah.Heydenrycht@westerncape.gov.za,"1 Berg Street, Haarlem, 6467",-33.734744,23.333747,South Africa
Hamburg Clinic,Clinic,+27 406781117;+27 785140587,,"Hamburg, Amathole District, 5641",-33.290634,27.4733,South Africa
Harbour Bay Medical Centre,Clinic,,,,-34.170574,18.427897,South Africa
Harmony Retreat (Addiction Rehabilitation),Clinic,+27334172227,info@harmonyretreat.co.za,"R74 Stanger Road, Greytown, 3250",-29.062443,30.704597,South Africa
Hartbeespoort Medical Centre,Clinic,,,"Beethoven Road, Hartbeespoort, 0216",-25.735356,27.896358,South Africa
Hatfield clinic,Clinic,+27 12 4202500,info.shs@up.ac.za,"290 Robert Sobukwe Street, Sunnyside, 0002",-25.75328,28.207719,South Africa
Hatmed Medical Centre,Clinic,+27 12 362 7180,,"454 Hilda Street, Preoria, 0083",-25.751444,28.235587,South Africa
Haviland,Clinic,,,,-28.854403,30.093343,South Africa
Haviland Clinic,Clinic,,,"160 Bell Street, Ladysmith, Weenen, 3370",-28.854381,30.093017,South Africa
Health Centre,Clinic,,,,-25.826311,25.60739,South Africa
Health WorkX Medical & Dental Centre,Clinic,+27 129450000,,"Shop 20 Hendrik Verwoerd Drive, Centurion, 0154",-25.870171,28.136587,South Africa
Health Worx Cresta,Clinic,+27 11 731 1000,,"Shop B200 Weltevreden Road, Cresta, Randburg, 2194",-26.131343,27.976143,South Africa
Health Zone Pharmacy & Clinic,Clinic,+27 12 881 0810,,"104 Sisulu Street, Pretoria, 0002",-25.74314,28.19532,South Africa
Health and Wellness Clinic for Women,Clinic,+27 83 786 8180,,"Kirkness Street, pretoria, 0002",-25.750719,28.223158,South Africa
Hebron Clinic,Clinic,,,,-25.550884,28.016484,South Africa
Herbertsdale Satelite Clinic,Clinic,+27 44 651 1640,,"Garden Rout,Mossel Bay",-34.017816,21.762168,South Africa
High St Medical Centre,Clinic,,,High Street,-26.194161,27.998188,South Africa
Highveld Medical Center,Clinic,+27 126551803,,"Bradford Street, Centurion, 0169",-25.875577,28.196164,South Africa
Hillbrow Community Health Centre,Clinic,+27 11 694 3753,,"Corner Klein and Smit street, Hillbrow,Johannesburg",-26.193537,28.045403,South Africa
Hillcare Womans Clinic,Clinic,,,,-25.744518,28.203022,South Africa
Hillcrest Medical Centre,Clinic,+27 31 765 3388,,"54 Old Main Road, Hillcrest, 3610",-29.777794,30.763423,South Africa
Hlabisa Gateway Clinic,Clinic,+27 35 838 8600,,"3937 Saunder Street, Hlabisa",-28.143483,31.878856,South Africa
"Hlabisa, Kwazulu-Natal",Clinic,+27 358388600,,"60 Saunders Street, Hlabisa, Kwazulu-Natal",-28.368882,32.376294,South Africa
Hlaneki clinic,Clinic,+27 15 811 0056;+27 17 643 4763,,"Hlaneki Village, Giyani, 0826",-23.281719,30.50987,South Africa
Hobhouse Clinic,Clinic,,,,-29.521556,27.147276,South Africa
Huhudi Community Health Center,Clinic,,,,-26.974467,24.739193,South Africa
Idas Valley Clinic,Clinic,,,,-33.925272,18.874819,South Africa
Ikageng Medi Suits,Clinic,,,,-26.716738,27.056146,South Africa
Ikhutseng (Klipgat) Clinic,Clinic,,,"Sehlango Street, Madibeng Local Municipality",-25.479119,27.998195,South Africa
Ikhutseng (Klipgat) Clinic,Clinic,,,Klipgat,-25.479341,27.997966,South Africa
Ikhwezi Clinic,Clinic,+27 21 845 1212,ikhwezi.clinic@capetown.gov.za,"3 Simon Street, Strand, 7143, ZA",-34.113629,18.86621,South Africa
Indawo Ka Dokotela Surgery,Clinic,+27 82 481 2941,nzinihc@gmail.com,,-28.947881,31.734461,South Africa
Inhlwathi Clinic,Clinic,+27 35 838 0155,,60 Saunders Street,-28.01711,31.974556,South Africa
Intercare Mall@55,Clinic,+27 128803000,,"Marais Avenue, Centurion, 0157",-25.885923,28.105052,South Africa
Intercare Medical Centre Wonderboom,Clinic,+27 12 543 4000,,"Prince Street, Pretoria, 0182",-30.018703,30.913955,South Africa
Intermed Medical Practice,Clinic,+27 12 023 1131,,"171 Sunnyfair building Robert Sobukwe Street, Pretoria, 0002",-25.752097,28.203948,South Africa
Iswepe Clinic,Clinic,+27 17 820 5062,,"Kwakhepa Village, Iswepe",-26.831908,30.528321,South Africa
Itereleng Clinic,Clinic,+27 11 989 0304,,"Elias Motsoaledi Road, Dobsonville, 1863",-26.217586,27.87076,South Africa
Itumeleng Clinic,Clinic,+27 14 576 1019,,"Plot 504 Jq Cnr Magaliesburg & Brits Street, Mogale City",-29.285352,26.719323,South Africa
Ivan Toms Centre for Men‘s Health,Clinic,+27 21 447 2844,,"1 Portswood Road, Cape Town",-33.905818,18.415031,South Africa
Jabulani Dumani Health,Clinic,,,,-26.366459,28.218282,South Africa
Jazzman Mokhothu Clinic,Clinic,,,,-29.257391,26.714214,South Africa
Jazzman Mokhothu Clinic,Clinic,+27 51 532 0020,,,-29.257331,26.714113,South Africa
Joubertina Community Health Centre,Clinic,,,,-33.826219,23.86451,South Africa
Jubilee Health Centre,Clinic,,,,-33.932925,18.469633,South Africa
"Judah Africa, Clinic",Clinic,,,,-26.022878,27.964496,South Africa
KID Medical Centre,Clinic,,,,-25.666087,27.235241,South Africa
Kalafong hospital-Dept of medical Oncology,Clinic,+27 12 373 5447,,"Kalafong Road, Pretoria, 0125",-25.76188,28.089356,South Africa
Kalafong hospital-OPD General,Clinic,+27 12 373 1000,,"Kalafong Road, Pretoria, 0125",-25.761982,28.089187,South Africa
