Name,Type,Phone Number,Email,Physical Address,Latitude,Longitude,Region,Beds,Website
Olin E. Teague Veterans Medical Center,Hospital,+1 254-778-4811,,"1901, Veterans Memorial Drive, Temple, 76504",31.077584,-97.345322,USA,949,https://www.centraltexas.va.gov/
Medical City Dallas,Hospital,+1 972 566 7000,,"7777, Forest Lane, Dallas, 75230",32.91149,-96.773456,USA,899,https://medicalcityhospital.com/
Texas Health Presbyterian Hospital Dallas,Hospital,+1 214 345 6789,,"8200, Walnut Hill Lane, Dallas, 75231",32.879693,-96.761476,USA,898,https://www.texashealth.org/dallas/
Northwestern Memorial Hospital,Hospital,+1 312 926 2000,,"251, East Huron Street, Chicago, 60611",41.895082,-87.621915,USA,894,https://www.nm.org/locations/northwestern-memorial-hospital
Orlando Regional Medical Center,Hospital,+1-321-841-5111,,"52, West Underwood Street, Orlando, 32806",28.525896,-81.378273,USA,888,https://www.orlandohealth.com/facilities/orlando-regional-medical-center
Cedars-Sinai Medical Center,Hospital,+1 310 423 3277,,"8700, Beverly Boulevard, Los Angeles, 90048",34.075215,-118.380696,USA,886,https://www.cedars-sinai.org/
Henry Ford Hospital,Hospital,+1 203 916 2600,,"2799, West Grand Boulevard, Detroit, 48202",42.367804,-83.085485,USA,877,https://www.henryford.com/locations/henry-ford-hospital
Lehigh Valley Hospital,Hospital,+1-610-402-8000,,"1200, South Cedar Crest Boulevard, Allentown, 18105",40.565227,-75.524333,USA,877,https://www.lvhn.org/locations/lehigh-valley-hospital-cedar-crest#scroll
Charlton Memorial Hospital,Hospital,+1 508 679 3131,,"363, Highland Avenue, Fall River, 02720",41.709373,-71.145904,USA,867,https://www.southcoast.org/locations/charlton-memorial-hospital/
Dallas VA Medical Center,Hospital,+1 800 849 3597,,"4500, South Lancaster Road, Dallas, 75216",32.694727,-96.789177,USA,853,https://www.northtexas.va.gov/
Corewell Health Butterworth Hospital,Hospital,+1 616 391 1774,,"100, Michigan Street Northeast, Grand Rapids, 49503",42.969404,-85.664244,USA,852,https://corewellhealth.org
Erlanger North Hospital - Satellite,Hospital,+1 423 778 6110,,"632, Morrison Springs Road, Chattanooga, 37415",35.123513,-85.302108,USA,848,https://www.erlanger.org/erlanger-north-hospital/north-hospital
CHRISTUS Spohn Hospital Corpus Christi - Memorial,Hospital,+1 361 902 4000,,"2606, Hospital Boulevard, Corpus Christi, 78405",27.779899,-97.416021,USA,846,https://www.christushealth.org/spohn/memorial
Swedish First Hill Medical Center,Hospital,+1-206-386-6000,,"747, Broadway, Seattle, 98122",47.60861,-122.322259,USA,830,http://www.swedish.org/locations/first-hill-campus
Baptist Health Medical Center - Little Rock,Hospital,+1-501-202-2000,,"9601, Baptist Health Drive, Little Rock, 72205",34.743831,-92.380634,USA,827,https://www.baptist-health.com/location/baptist-health-medical-center-little-rock-little-rock
Aultman Hospital,Hospital,+1 330 452 9911,,"2600, 6th Street Southwest, Canton, 44710",40.79662,-81.403804,USA,820,https://aultman.org/
Methodist Hospital,Hospital,+1 210 575 4000,,"7700, Floyd Curl Drive, San Antonio, 78229",29.508264,-98.571941,USA,811,https://sahealth.com/locations/methodisthospital/
Methodist Hospital South,Hospital,+1 830 769 3515,,"1905, Highway 97 East, Jourdanton, 78026",28.933089,-98.526004,USA,811,https://sahealth.com/locations/methodisthospitalsouth/
University of Chicago Medicine Campus,Hospital,+1 773 702 1000,,"5481, South Maryland Avenue, Chicago, 60637",41.79019,-87.603693,USA,811,https://uchicagomedicine.org/
Brigham and Women's Hospital,Hospital,+1 617 732 5500,,"75, Francis Street, Boston, 02115",42.335942,-71.105671,USA,804,https://www.brighamandwomens.org/
Advocate Christ Medical Center,Hospital,+1 708 684 8000,,"4400, West 95th Street, Oak Lawn, 60453",41.722153,-87.730504,USA,802,https://www.advocatehealth.com/cmc/
Mount Sinai Beth Israel,Hospital,+1 212 420 2000,,"New York, 10003",40.733225,-73.982443,USA,799,https://www.mountsinai.org/locations/beth-israel
St George's Hospital,Hospital,+44 20 8672 1255,communications@stgeorges.nhs.uk,"Blackshaw Road, London, SW17 0QT",51.426442,-0.175207,UK,1300,http://www.stgeorges.nhs.uk
Queens Hospital,Hospital,+44 330 400 4333,,"Rom Valley Way, Romford, RM7 0AG",51.568723,0.181018,UK,939,http://www.bhrhospitals.nhs.uk
Lister Hospital,Hospital,+44 1438 314333,,"Coreys Mill Lane, Stevenage, SG1 4AB",51.924738,-0.213963,UK,730,https://www.enherts-tr.nhs.uk/hospitals/lister/
Croydon University Hospital,Hospital,020 8401 3000,,"530, London Road, Thornton Heath, CR7 7YE",51.390124,-0.110056,UK,670,http://www.croydonhealthservices.nhs.uk/
University College Hospital,Hospital,+44 20 3456 7890,,"235, Euston Road, London, NW1 2BU",51.52487,-0.136443,UK,665,https://www.uclh.nhs.uk/
Medway Maritime Hospital,Hospital,+44 1634 830000,medwayft.pals@nhs.net,"Windmill Road, Gillingham, ME7 5NY",51.379623,0.541633,UK,588,https://www.medway.nhs.uk/
Walsall Manor Hospital,Hospital,01922 721172,contactus@walsallhealthcare.nhs.uk,"Moat Road, Walsall, WS2 9PS",52.583047,-1.998457,UK,550,https://www.walsallhealthcare.nhs.uk/patients-and-visitors/planning-your-visit/hospital/
Newham University Hospital,Hospital,020 7476 4000,nuhpals@bartshealth.nhs.uk,,51.521674,0.03664,UK,430,https://www.bartshealth.nhs.uk/our-hospitals/newham-university-hospital/
Roseberry Park,Hospital,+44 1642 837300,,"Marton Road, Middlesbrough, TS4 3AF",54.556017,-1.217118,UK,365,
Cleveland Clinic London,Hospital,+44 20 3423 7500,,"33, Grosvenor Place, London, SW1X 7HY",51.499394,-0.148755,UK,184,https://clevelandcliniclondon.uk/
Wellesley Hospital,Hospital,+44 1823 668150,wellesley@elysiumhealthcare.co.uk,"West Park, Wellington, TA21 9FF",50.979109,-3.205855,UK,73,https://www.elysiumhealthcare.co.uk/location/wellesley-hospital/
The Chiltern Hospital,Hospital,+44 1494 890890,,"London Road, HP16 0EN",51.690353,-0.693918,UK,66,https://www.bmihealthcare.co.uk/hospitals/bmi-the-chiltern-hospital
John Munroe Hospital,Hospital,+44 1538 394270,,ST13 8RU,53.125087,-2.08255,UK,57,https://www.johnmunroehospital.co.uk/
Cygnet,Hospital,0114 279 3350,enquiries@cygnethealth.co.uk,"83, East Bank Road, Sheffield, S2 3PX",53.368066,-1.45873,UK,55,https://www.cygnetgroup.com/locations/cygnet-hospital-sheffield/
Bexhill Hospital,Hospital,+44 1424 755255,enquiries@esht.nhs.uk,"Holliers Hill, Bexhill-on-Sea, TN40 2DZ",50.850038,0.475202,UK,54,https://www.esht.nhs.uk/our-locations/bexhill-hospital/
Leek Moorlands Hospital,Hospital,+44 300 123 1894,,"Ashbourne Road, ST13 5BQ",53.102849,-2.009541,UK,44,https://www.mpft.nhs.uk/services/leek-moorlands-hospital
Wellesley Hospital 2,Hospital,+44 1823 668150,wellesley@elysiumhealthcare.co.uk,"West Park, Wellington, TA21 9FF",50.97937,-3.20463,UK,30,https://www.elysiumhealthcare.co.uk/location/wellesley-hospital/
North Walsham and District War Memorial Hospital,Hospital,+44 1692 408000,,"Yarmouth Road, NR28 9AP",52.814069,1.388482,UK,24,http://www.norfolkcommunityhealthandcare.nhs.uk
Arundel & District Community Hospital,Hospital,+44 1903 882543,,"Chichester Road, Arundel, BN18 0AB",50.854362,-0.56541,UK,20,http://www.sussexcommunity.nhs.uk/services
Priory Hospital Ty Cwm Rhondda,Hospital,,,"Tyntyla Avenue, Ystrad, CF41 7SU",51.643182,-3.456562,UK,20,https://www.priorygroup.com/locations/nhs/priory-hospital-ty-cwm-rhondda
Midhurst Community Hospital,Hospital,+44 1730 819100,,"Dodsley Lane, Midhurst, GU29 9AW",50.99358,-0.735205,UK,17,
Grenoside Grange,Hospital,,,"Salt Box Lane, Sheffield, S35 8QS",53.435858,-1.496566,UK,16,
Pinhoe View,Hospital,01392 350054,exeter.enquiries@ramsayhealth.co.uk,"College Way, Exeter, EX1 3PZ",50.731307,-3.46927,UK,16,https://www.elysiumhealthcare.co.uk/location/pinhoe-view-2/
Danesbury House Neurological Centre,Hospital,+44 1438 841841,,"School Lane, Welwyn, AL6 9PW",51.827908,-0.222839,UK,14,
Newton Stuart Hospital,Hospital,,,"Newton Stewart, DG8 6LZ",54.951168,-4.491924,UK,14,
The Cove,Hospital,,,"Plover Drive, Heysham, LA3 2SL",54.035144,-2.892219,UK,14,https://www.lscft.nhs.uk/the-cove
The Lady Margaret Hospital,Hospital,+44 1475 530307,,KA28 0HF,55.76128,-4.922684,UK,10,https://www.nhsaaa.net/hospitals/lady-margaret-hospital/
Ospadal Naomh Brianain,Hospital,,,"Isle of Barra, HS9 5XE",56.951929,-7.497062,UK,5,https://www.wihb.scot.nhs.uk/st-brendan-s-hospital-barra
A&E Department,Hospital,020 7476 4000,nuhpals@bartshealth.nhs.uk,,51.52298,0.03436,UK,0,http://www.bartshealth.nhs.uk
Abbey Surgery,Hospital,,,"Station Road, Yelverton, PL20 7EJ",50.480002,-4.192086,UK,0,
Aberaeron Integrated Care Centre,Hospital,+44 1545 900100,,"Vicarage Hill,, Aberaeron, SA46 0DY",52.23782,-4.2577,UK,0,https://www.wales.nhs.uk/ourservices/directory/Hospitals/95
Aberbeeg Hospital,Hospital,,,,51.708474,-3.150013,UK,0,
Abingdon Community Hospital,Hospital,01865 904346,,,51.669902,-1.30202,UK,0,
Aboyne Hospital and Health Centre,Hospital,,,"Bellwood Road, Aboyne, AB34 5HQ",57.076213,-2.766945,UK,0,
Accident & Emergency,Hospital,,,,51.684958,-3.935163,UK,0,
Adamson Hospital,Hospital,,,,56.32384,-3.017885,UK,0,
Addenbrooke's Hospital,Hospital,,,,52.17403,0.141172,UK,0,
Addington Clinic,Hospital,01202 570821,dhc.enquiries@nhs.net,,50.766217,-1.906153,UK,0,http://www.dorsethealthcare.nhs.uk
Aintree University Hospital,Hospital,+44 151 525 5980,,"Lower Lane, Liverpool, L9 7AL",53.465693,-2.933351,UK,0,https://www.aintreehospital.nhs.uk/
Airbles Road Centre,Hospital,,,,55.782574,-3.983115,UK,0,
Aire Court Community Unit,Hospital,0113 8555000,pals.lypft@nhs.net,,53.747083,-1.539677,UK,0,http://www.leedsandyorkpft.nhs.uk/
Airedale General Hospital,Hospital,01535 652511,,"Skipton Road, Keighley, BD20 6TD",53.897721,-1.96435,UK,0,https://www.airedale-trust.nhs.uk/
大阪市立総合医療センター,Hospital,+81-6-69291221,,"22, 大阪市, 534-0021",34.707673,135.523969,Japan,1063,https://www.osakacity-hp.or.jp/ocgh/
獨協医科大学埼玉医療センター,Hospital,,,,35.878247,139.790622,Japan,928,
KKR札幌医療センター,Hospital,+81 11 822 1811,,"40, 札幌市, 062-0931",43.036512,141.366888,Japan,410,https://www.kkr-smc.com/
河北リハビリテーション病院,Hospital,+81 3 3313 8241,,166-8588,35.684153,139.650969,Japan,331,
医療法人社団竜山会金沢古府記念病院,Hospital,+81 76 240 3555,,,36.563933,136.607539,Japan,105,https://www.kkm-hp.jp/
(医）立川メディカルセンター柏崎厚生病院,Hospital,,,,37.353635,138.58704,Japan,0,
16号整形外科,Hospital,,,,35.563598,139.393564,Japan,0,
753歯科,Hospital,,,,35.547279,140.183801,Japan,0,
AED設置場所,Hospital,,,,37.917901,140.100142,Japan,0,
AOI七沢リハビリテーション病院,Hospital,,,,35.447795,139.292506,Japan,0,
AOI名古屋病院,Hospital,,,,35.178342,136.915755,Japan,0,https://www.aoikai.jp/aoinagoya/
AOI国際病院,Hospital,,,,35.533528,139.745954,Japan,0,
AOI広島病院,Hospital,082-420-7000,,,34.443778,132.871146,Japan,0,https://www.aoikai.jp/aoihiroshima/
AOI湘北病院,Hospital,,,,35.563991,139.356245,Japan,0,
BMC,Hospital,,,,35.320856,138.866566,Japan,0,
BOWOW,Hospital,,,,35.671879,139.687451,Japan,0,
E歯科,Hospital,,,,35.386702,133.393569,Japan,0,
Fビレッジ メディカルスクエア,Hospital,,,,42.989218,141.55508,Japan,0,
HITO病院,Hospital,,,,33.991457,133.58733,Japan,0,
Hospital General,Hospital,,,,32.847728,130.805325,Japan,0,
IMS グループ,Hospital,,,,35.704605,139.266914,Japan,0,
JASMIN,Hospital,+81 45 910 5292,,"37号, 横浜市, 224-0001",35.562829,139.569184,Japan,0,https://nakagawaekimae-naika.jp
JAとりで総合医療センター,Hospital,,,,35.911068,140.068855,Japan,0,
JA北海道厚生連 帯広厚生病院,Hospital,,,,42.919467,143.181105,Japan,0,
JA北海道厚生連美深厚生病院,Hospital,,,,44.479959,142.348412,Japan,0,
JA厚生連健康管理センター,Hospital,+81-99-252-2228,,,31.571919,130.567124,Japan,0,
JA尾道総合病院,Hospital,,,,34.40768,133.176186,Japan,0,
JA長野厚生連 佐久総合病院小海分院,Hospital,,,,36.094217,138.483746,Japan,0,
JA長野厚生連 富士見高原医療福祉センター 富士見高原病院,Hospital,,,,35.914424,138.243002,Japan,0,
JCHO 東京山手メディカルセンター,Hospital,,,"1, 新宿区, 169-0073",35.704733,139.699049,Japan,0,https://yamate.jcho.go.jp/
JCHOさいたま北部医療センター,Hospital,,,,35.932718,139.619683,Japan,0,
JCHO仙台南病院,Hospital,+81 22 306 1711,,"仙台市, 981-1103",38.190455,140.899921,Japan,0,
JCHO仙台病院,Hospital,+81 22 378 9111,,"1, 仙台市, 981-3281",38.345762,140.832463,Japan,0,https://sendai.jcho.go.jp/
JCHO北海道病院,Hospital,,,"18, 札幌市, 062-8618",43.025363,141.356258,Japan,0,https://hokkaido.jcho.go.jp/
JCHO千葉病院,Hospital,,,,35.583825,140.162836,Japan,0,
JCHO千葉病院,Hospital,,,,35.583808,140.162735,Japan,0,
JCHO大阪病院,Hospital,+81 6 6441 5451,,"78, 553-0003",34.691914,135.483221,Japan,0,https://osaka.jcho.go.jp/
JCHO東京新宿メディカルセンター,Hospital,+81 3 3269 8111,,"1, 新宿区, 162-8543",35.703571,139.742232,Japan,0,https://shinjuku.jcho.go.jp/
JCHO玉造病院,Hospital,,,,35.431105,133.01784,Japan,0,
JCHO登別病院,Hospital,,,,42.456716,141.179258,Japan,0,
JCHO相模野病院,Hospital,,,,35.573039,139.388541,Japan,0,
JCHO金沢病院,Hospital,,,,36.591941,136.65346,Japan,0,
Tamworth Rural Referral Hospital,Hospital,+61 2 6767 7700,,"Dean Street, 2340",-31.073041,150.925084,Australia,282,
Auburn Hospital,Hospital,+61 2 8759 3000,,"18-20, Hargrave Road",-33.860404,151.033124,Australia,155,https://www.wslhd.health.nsw.gov.au/Auburn-Hospital
Wyvern Private Hospital,Hospital,+61 2 8428 0200,,"33A, Myoora Road",-33.68785,151.220949,Australia,85,https://www.wyvernprivatehospital.com.au/
Ramsay Clinic Wentworthville,Hospital,+61 2 8833 2222,,"23-27, Lytton Street",-33.810872,150.974478,Australia,70,https://www.ramsaymentalhealth.com.au/wentworthville
Bellinger River District Hospital,Hospital,+61 2 6659 5800,,"Church Street, 2454",-30.457293,152.893494,Australia,42,https://mnclhd.health.nsw.gov.au/hospital/bellinger-river-district-hospital/
Abbotsford Private Hospital,Hospital,,,"61-69, Cambridge Street",-31.940987,115.837399,Australia,0,
Adeney Private Hospital,Hospital,+61 3 7049 5000,,"209, Cotham Road, 3101",-37.808572,145.048139,Australia,0,https://adeneyprivate.com.au/
Adolescent and Young Adult Hospice (AYAH),Hospital,,,,-33.807162,151.295225,Australia,0,
Adult Prevention and Recovery Care (APARC),Hospital,,,"91, Beach Street",-38.143028,145.13388,Australia,0,
Albany Community Hospice,Hospital,,,"30, Warden Avenue",-35.003167,117.904363,Australia,0,
Albany Regional Hospital,Hospital,,,"30, Warden Avenue",-35.003467,117.90456,Australia,0,
Albury Wodonga Health - Albury Campus,Hospital,,,,-36.078556,146.938137,Australia,0,https://www.awh.org.au/About-Us
Albury Wodonga Private Hospital,Hospital,,,,-36.075756,146.883262,Australia,0,https://www.alburywodongaprivate.com.au/
Alcohol and Drug Services,Hospital,,,St Johns Avenue,-42.856141,147.295389,Australia,0,
Alderley Child Health,Hospital,,,"24, South Pine Road, Brisbane, 4051",-27.424686,153.000237,Australia,0,https://www.childrens.health.qld.gov.au/service-child-health/
Alexandra District Health,Hospital,,,"12, Cooper Street, 3714",-37.194972,145.716601,Australia,0,http://www.alexandrahospital.org.au/
Alexandria Specialist Day Hospital,Hospital,,,,-33.904891,151.19617,Australia,0,https://www.asdh.com.au
Alfred Hospital,Hospital,+61 3 9076 2000,,"55, Commercial Road",-37.846153,144.982588,Australia,0,https://www.alfred.org.au/
Alice Springs Hospital,Hospital,,,,-23.706177,133.878259,Australia,0,
Allowah Presbyterian Children's Hospital,Hospital,,,,-33.791871,151.063878,Australia,0,https://www.allowah.org.au/
Alpha Emergency Hub,Hospital,+61 7 4809 7002,alphaprivatesurgery@health.qld.gov.au,,-23.649044,146.632997,Australia,0,
Alpine Health [Mount Beauty],Hospital,,,"10, Hollonds Street, 3699",-36.743433,147.16983,Australia,0,
Alwyn Rehabilitation Hospital,Hospital,,,"1, Emu Street",-33.882897,151.094267,Australia,0,https://alwyn.com.au/
Ambulance Victoria,Hospital,,,,-37.812823,145.116082,Australia,0,
Angaston District Hospital,Hospital,,,,-34.503599,139.054784,Australia,0,
Angliss Hospital,Hospital,,,"39, Albert Street",-37.89895,145.31448,Australia,0,https://www.easternhealth.org.au/locations/angliss/default.aspx
Anne Caudle Campus,Hospital,,,,-36.751105,144.280694,Australia,0,https://www.bendigohealth.org.au/
Anne Leach Wing,Hospital,,,,-31.968998,115.809044,Australia,0,https://perthradclinic.com.au
Aramac Primary Health Centre,Hospital,+61 7 4652 9000,,"2, Lodge Street, 4726",-22.966487,145.244781,Australia,0,https://www.health.qld.gov.au/centralwest/menu/locations-and-services/aramac
Arcadia Pittwater Private Hospital,Hospital,,,"4, Daydream Street",-33.677001,151.286328,Australia,0,
Ardrossan Community Hospital,Hospital,,,,-34.426469,137.917527,Australia,0,
Armadale Kelmscott District Memorial Hospital,Hospital,,,"3056, Albany Highway, 6112",-32.132697,116.020111,Australia,0,
Armidale Hospital,Hospital,,,"226, Rusden Street",-30.512916,151.655037,Australia,0,
Armidale Private Hospital,Hospital,,,"226B, Rusden Street",-30.512079,151.654617,Australia,0,
Ashford Hospital,Hospital,,,"55-57, Anzac Highway",-34.948168,138.576745,Australia,0,https://ashfordhospital.org.au/
Ashworth House,Hospital,,,"25, Kolberg Street, Brisbane, 4034",-27.354941,153.036603,Australia,0,
Atherton Hospital,Hospital,+61 7 4091 0211,,,-17.266375,145.483316,Australia,0,https://www.health.qld.gov.au/services/cairns-hinterland/cairns_ath_hosp
Attadale Rehabilitation Hospital,Hospital,+61 8 9330 1000,,"21, Hislop Road, 6156",-32.029683,115.810648,Australia,0,https://www.attadalerehabilitation.com.au/
Augathella Multipurpose Health Service,Hospital,+61 7 4656 7100,,"Cavanagh Street, 4477",-25.795859,146.590609,Australia,0,https://www.southwest.health.qld.gov.au/healthcare-facilities/multipurpose-health-services/augathella-multipurpose-health-service/
Austin Hospital,Hospital,,,"145, Studley Road",-37.756605,145.058914,Australia,0,https://www.austin.org.au/
Avive Clinic Mt Eliza,Hospital,+61 3 9787 8877,,"2, Mount Eliza Way",-38.179066,145.095261,Australia,0,
Ayr Hospital,Hospital,,,,-19.564289,147.40924,Australia,0,
Dr George Mukhari,Hospital,+27 12 529 3000,,"Sekwati Street, Ga-Rankuwa Unit 2, Gauteng",-25.617582,28.011796,South Africa,1652,
Madadeni Provincial Hospital,Hospital,+27 34 328 8000,Happy.Khanyi@kznhealth.gov.za,"Section 5, Madadeni.New Castle, 2951",-27.766883,30.051704,South Africa,1620,
Prince Mshiyeni Memorial Hospital,Hospital,+27 31 907 8111,maxwell.mbanjwa@kznhealth.gov.za,"Mshiyeni Road, Umlazi",-29.954572,30.934909,South Africa,1075,
Boitumelo Regional Hospital,Hospital,+27 56 216 5200; +27 56 216 5380,,"Smaldeel Road, Kroonstad, Free State, 9499",-27.642861,27.214204,South Africa,1018,
King Edward VIII Hospital,Hospital,+27 31 360 3111,rejoice.khuzwayo@kznhealth.gov.za/ lungile.mpanza@kznhealth.gov.za,"Cnr Sydney & Rick Turner Road, Congella, 4013",-29.881474,30.989561,South Africa,852,
Inkosi Albert Luthuli Central Hospital,Hospital,+27 31 240 1000,thandeka.khanyile@ialch.co.za,"800, Bellair Road, Cato Manor, Durban, 4058",-29.873421,30.958003,South Africa,846,https://www.ialch.co.za/
Steve Biko Academic Hospital,Hospital,+27 12 354 1000,,"c/o, Steve Biko and Malan Street, Capital Park, 0001",-25.729362,28.201748,South Africa,834,
Thelle Mogoerane Hospital,Hospital,+27 11 241 5600,,"12390, Nguzu Street, Vosloorus, Gauteng, 1475",-26.35695,28.224307,South Africa,821,
Selby Hospital(Solomon Stix Morewa Memorial),Hospital,+27114914100,,"121, Eloff Street, Selby, Johannesburg, 2001",-26.221591,28.043064,South Africa,642,https://clinix.co.za/
Tower Psychiatric Hospital,Hospital,+27 46 645 1122,,"2411, Somerset Street, Fort Beaufort, 5720",-32.771454,26.624094,South Africa,600,
Dora Nginza Hospital,Hospital,+27 41 406 4111,,"Spondo Street, iBhayi",-33.876771,25.559959,South Africa,570,
General Justice Gizenga Mpanza Regional Hospital (formerly Stanger Hospital),Hospital,+27 32 437 6000,pumla.mba@kznhealth.gov.za,"Corner of King Shaka and Patterson Street, Kwadukuza, Stanger, 4449",-29.335072,31.284318,South Africa,545,
Tambo Memorial Hospital,Hospital,+27 118988000,,"Railway Street, Boksburg, 1459",-26.218348,28.244772,South Africa,540,
Nelson Mandela Academic Hospital,Hospital,,,"Nelson Mandela Drive, Mthatha, Eastern Cape",-31.587743,28.764635,South Africa,512,
Ladysmith Hospital,Hospital,+27 36 637 2111,Bhekizizwe.Msibi@kznhealth.gov.za,"Malcom Road,, Ladysmith, 3370",-28.557503,29.764799,South Africa,508,http://www.kznhealth.gov.za/ladysmithhospital.htm
Dr Pixley Ka Isaka Seme Memorial Hospital,Hospital,Tel: (034) 331 3011,nkosi.bongani@kznhealth.gov.za,"310, Bhejane Street, KwaMashu, Durban, 4360",-29.72821,30.990262,South Africa,500,
Addington Hospital,Hospital,+27 31 327 2002,Zimhlophe.jali@kznhealth.gov.za,"16, Erskine Road, South Beach, Durban, Kwazulu-Natal",-29.861985,31.041146,South Africa,471,http://www.kznhealth.gov.za/addingtonhospital.htm
Netcare Unitas Hospital,Hospital,+27 12 677 8000,,"Clifton Avenue, Lyttelton Centurion, 0140",-25.832154,28.195842,South Africa,470,
Netcare St. Augustine's Hospital,Hospital,+27 31 268 5000,,"107, J.B. Marks Road, Bulwer, Berea, 4001",-29.855967,30.991272,South Africa,464,https://www.netcarehospitals.co.za/Hospital/Netcare-St-Augustines-Hospital
Fort Napier Hospital,Hospital,+27 33 260 4300,spha.buthelezi@kznhealth.gov.za,"1, Devonshire Road, Pietermaritzburg, Kwazulu Natal, 3200",-29.612416,30.368428,South Africa,450,http://www.kznhealth.gov.za/fortnapierhospital.htm
Mankweng Hospital,Hospital,+27 15 287 5014,,"Houtbos Dorp Street, Mankweng, 0727",-23.877115,29.721547,South Africa,450,
Port Elizabeth Provincial Hospital,Hospital,+27 41 392 3911,Thembi.mkhize@kznhealth.gov.zaBawinile.ndlovu@kznhealth.gov.za,"Buckingham Road, Gqeberha, 6001",-33.957767,25.599786,South Africa,450,
Tintswalo Hospital,Hospital,+27 13 795 5490,,"Chavelagaza Road, Acornhoek, 1360",-24.59043,31.061058,South Africa,423,
Umgeni Hospital,Hospital,+27 33 330 6146,ayanda.mazwana@kznhealth.gov.za,"Main Street, Howick, 3290",-29.502776,30.234265,South Africa,411,
Mediclinic Panorama,Hospital,+27 21 938 2111,,"Rothschild Boulevard, Panorama, Cape Town, 7500",-33.876173,18.577845,South Africa,400,
Eugene Marais Hospital,Hospital,+27 12 334 2777,,"696 5th ais,, Avenue, Les Marais, Pretoria, 0084",-25.709566,28.193996,South Africa,386,https://www.lifehealthcare.co.za/hospitals/gauteng/pretoria/life-eugene-marais-hospital/
